ablution,ablución {f},{n} /əˈblu.ʃn̩/ (the act of washing or cleansing)
ably,"capaz, hábilmente",{adv} /ˈeɪ.bli/ (with great ability)
abnegate,abnegar,{v} /ˈæb.nɪ.ɡeɪt/ (to deny oneself something)
abnegate,rechazar,"{v} (to reject, to deny)"
abnegation,abnegación {f},{n} /ˈæb.nɪˈɡɘɪ.ʃn̩/ (denial; renunciation)
abnormal,anormal,{adj} /ˈæbˌnɔɹ.ml̩/ (not conforming to rule or system)
abnormal,anormal,{adj} (of or pertaining to behaviour that deviates from norms)
abnormality,anormalidad {f},{n} /ˌæbˌnɔɹˈmæl.ət.i/ (state of being abnormal)
abnormally,anormalmente,{adv} /æbˈnɔɹ.mə.li/ (In an abnormal manner)
aboard,a bordo,{adv} /əˈbɔrd/ (on board)
aboard,a bordo de,{prep} (on board of)
abode,"morada {f}, residencia {f}, vivienda {f}",{n} /əˈbəʊd/ (slightly dated: residence)
abolish,"abolir, suprimir, abrogar, quitar",{v} /əˈbɑl.ɪʃ/ (to do away with)
abolish,destrozar,{v} (to destroy)
abolishment,abolición {f},{n} /əˈbal.ɪʃ.mənt/ (The act of abolishing)
abolition,abolición {f},{n} /ˌæb.əˈlɪʃ.n̩/ (act of abolishing)
A-bomb,bomba atómica {f},{n} (atomic bomb)
abominable,"abominable, aborrecible",{adj} /əˈbɑm.ə.nə.bl̩/ (hateful; detestable; loathsome)
abominable snowman,abominable hombre de las nieves {m},{n} /əˈbɑm.ə.nə.bl̩ ˈsnoʊ.mæn/ (manlike or apelike animal said to exist in the Himalayas)
abominably,abominablemente,{adv} /əˈbɑm.ə.nə.bli/ (in an abominable manner)
abominate,"abominar, detestar","{v} /əˈbɒm.əˌnəɪt/ (to feel disgust towards, to hate in the highest degree)"
abomination,"abominación {f}, maldad {f}",{n} /əˌbɑm.əˈneɪ.ʃn̩/ (something abominable)
aboriginal,"aborigen, indígena",{adj} /ˌæb.əˈɹɪd͡ʒ.n̩.l̩/ (original; indigenous)
Aboriginal,"aborigen, aboriginal",{n} /ˌæb.əˈɹɪd͡ʒ.n̩.l̩/ (original inhabitant of Australia)
Aboriginal,aborigen,{n} (original inhabitant of any land)
aborigine,"aborigen {m} {f}, indígena {m} {f}",{n} /ˌæb.əˈɹɪdʒ.ə.ni/ (aboriginal inhabitant of a country)
abort,"aborto, {m}",{n} /əˈbɔɹt/ (A miscarriage)
abort,abortar,{v} (to miscarry)
aborted,abortado,{adj}
abortifacient,abortivo,{adj} /əˌbɔɹ.təˈfeɪ.ʃn̩t/ (producing miscarriage)
abortifacient,abortivo {m},{n} (agent that causes premature delivery)
abortion,aborto {m},{n} (act of inducing abortion)
abortion,"aborto {m}, aborto involuntario",{n} /əˈbɔɹ.ʃn̩/ (miscarriage)
abortion,"aborto {m}, aborto inducido",{n} (induced abortion)
abortion,"aborto {m}, engendro {m}",{n} (something ugly)
abortion,aborto {m},"{n} (the act of aborting a project, etc)"
abortional,abortivo,{adj} /əˈbɔɹ.ʃn̩.l̩/ (pertaining to abortion)
abortive,"fracasado, frustrado, malogrado",{adj} /əˈbɔɹ.tɪv/ (coming to naught; fruitless)
abortive,abortivo,{n}
abound,"abundar, ser abundante",{v} /əˈbaʊnd/ (to be plentiful)
abound,"abundar, ser abundante",{v} (to be copiously supplied)
about,alrededor,{adv} (here and there)
about,alrededor,{adv} (in circuit)
about,alrededor,{adv} (nearly)
about,alrededor,{adv} (on all sides)
about,"sobre, acerca de, de",{prep} (concerning)
about,alrededor de,{prep} /əˈbaʊt/ (around)
about,"sobre, acerca de",{prep} (in concern with)
about,cerca de,{prep} (in the immediate neighborhood of)
about,cerca de,{prep} (near)
about,a punto de,{prep} (on the point or verge of)
about,encima de,{prep} (over or upon different parts of)
about time,"es hora, al fin",{adv} (close to the right time)
about time,ya era hora,{adv} (far past the desired time)
about to,a punto de,{phrase} (indicating imminence)
above,arriba,{adv} (earlier in order)
above,arriba,{adv} (in a higher place)
above,"arriba, sobre, encima",{prep} /əˈbʌv/ (in or to a higher place)
above,sobre,{prep} (more)
above all,sobre todo,{adv} (of prime importance)
aboveboard,"legítimo, sincero",{adj}
above measure,,{prep phrase} (beyond measure) SEE:
above the curve,adelantado de su época {m},{prep phrase}
above the law,por encima de la ley,{prep phrase} (idiomatic)
abrade,"escoriar, raspar",{v} /əˈbɹeɪd/ ((transitive) to rub or wear off; to waste or wear away by friction)
Abraham,"Abraham, Abrahán",{prop} /ˈeɪ.bɹəˌhæm/ (prophet in the Old Testament)
Abraham,"Abraham, Abrahán",{prop} (male given name)
Abram,Abram,{prop} /ˈeɪ.bɹəm/ (Old Testament patriarch)
abrasion,abrasión {f},{n}
abrasion,erosión {f},{n} (geology: effect of mechanical erosion of rock)
abrasion,"rasguño {m}, raspadura {f}",{n} (medicine: superficial wound)
abrasive,abrasivo,{adj} /əˈbɹeɪ.sɪv/ (producing abrasion; rough)
abrasive,"brusco, irritante",{adj} (rough and coarse in manner or disposition)
abreast,al corriente,{adv} /əˈbɹɛst/ (informed)
abreast,de lado a lado,{adv} (side by side)
abridge,"abreviar, condensar, compendiar",{v} /əˈbrɪd͡ʒ/ (to make shorter)
abridge,privar,{v} (to deprive)
abridge,"abreviar, resumir",{v} (to shorten or contract by using fewer words)
abridged,abreviado,"{adj} (cut or shortened, especially of a literary work)"
abridgment,"abreviación, compendio {m}",{n} /əˈbɹɪd͡ʒ.mn̩t/
abroad,"por todas partes, en todas direciones",{adv} /əˈbɹɔd/ (at large; widely; broadly; over a wide space)
abroad,"en el extranjero, en el exterior",{adv} (in foreign countries)
abroad,al exterior,{adv} (without a certain confine; outside the house)
abrogate,"abrogar, derogar",{v} /ˈæb.ɹəˌɡət/ (to annul by an authoritative act)
abrupt,abrupto,{adj} (botany: truncated)
abrupt,"abrupto, brusco, cortante",{adj} (curt in manner)
abrupt,"abrupto, brusco",{adj} /əˈbɹʌpt/ (extremely steep)
abrupt,"brusco, abrupto",{adj} (having sudden transitions from one state to next)
abrupt,"repentino, súbito",{adj} (without notice)
abruptly,abruptamente,{adv} /əˈbɹʌp.li/ (in an abrupt manner)
abruptly,precipitadamente,{adv} (precipitously)
Absalom,Absalón,{prop} /ˈæb.sə.ləm/ (Biblical character)
Absalom,Absalón,{prop} (male given name)
abscess,"absceso {m}, flemón {m} (gums)",{n} /ˈæbˌsɛs/ (cavity filled with pus)
abscissa,abscisa {f},{n} (first of two coordinates)
abscission,abscisión {f},{n} /æbˈsɪ.ʃn̩/ (act of cutting off)
abscond,"fugarse, evadirse",{v} /æbˈskɑnd/ (to depart secretly)
abscond,"huir, fugarse",{v} (to hide (something))
absence,ausencia {f},{n} /ˈæb.sn̩s/ (state of being absent)
absence,ausencia {f},{n} (inattention to things present)
absence,"ausencia {f}, falta {f}",{n} (want; lack; destitution; withdrawal)
absent,ausente,{adj} /ˈæb.sn̩t/ (being away from a place)
absent,"ausente, distraído",{adj} (inattentive)
absent,ausente,{adj} (not existing)
absent,ausentarse,{v} /æbˈsɛnt/ (to withhold from being present)
absentee,ausente {m} {f},{n} /ˌæb.sn̩ˈti/ (A person who is absent)
absent-minded,distraído,{adj} /ˌæb.sn̩tˈmaɪn.dɪd/ (absent in mind)
absinthe,"ajenjo {m}, absintio {m}",{n} /ˈæb.sɪnθ/ (liquor)
absinthe,ajenjo {m},{n} (
absinthin,absintina {f},{n} /ˈæbˌsɪn.θɪn/ (principle compound found in wormwood)
absolute,absoluto,{adj} /ˈæb.səˌlut/ (loosed from any limitation or condition)
absolute,"completo, pleno",{adj} (complete in itself)
absolutely,"totalmente, absolutamente",{adv} /ˌæb.səˈlut.li/ (in an absolute manner)
absolute monarchy,monarquía absoluta {f},{n} (rule)
absolute pitch,,{n} /ˈæb.səˌlut pɪt͡ʃ/ (ability to identify and reproduce a tone) SEE:
absolute zero,cero absoluto {m},{n} /ˈæb.səˌlut ˈzi.ɹoʊ/ (coldest possible temperature)
absolution,absolución {f},"{n} /ˌæb.səˈlu.ʃn̩/ (absolving or setting free from guilt, sin or penalty; forgiveness of an offense)"
absolutist,absolutista,{adj} /ˈæb.səˌlu.tɪst/ (of or pertaining to absolutism)
absolutive case,caso absolutivo {m},{n} (case used to indicate the patient or experiencer of a verb’s action)
absolve,"absolver, eximir, dispensar, exculpar, exonerar",{v}
absolve,"absolver, exculpar",{v} /æbˈzɑlv/ (set free)
absolve,absolver,{v} (pronounce free or give absolution)
absorb,absorber,{v}
absorb,absorber,{v} /æbˈsɔrb/ (to suck up or drink in )
absorbed,"absorto, ensimismado",{adj} /æbˈsɔɹbd/ (fully occupied with one's thoughts; engrossed)
absorbency,absorbencia {f},{n} /æb.sɔɹ.bn̩.si/ (absorbency)
absorbent,absorbente,{adj} /æbˈsɔr.bn̩t/ (absorbing)
absorbent,absorbente {m},{n} (anything which absorbs)
absorbing,absorbente,{adj} /æbˈzɔr.bɪŋ/ (engrossing)
absorption,absorción {f},{n} /æbˈsɔɹp.ʃn̩/ (act or process of absorbing or sucking in anything)
absorption,concentración {f},{n} (entire occupation of the mind)
abstain,abstenerse,{v} /əbˈsteɪn/ (refrain from)
abstain,retener,"{v} (hinder, withhold)"
abstain,abstenerse,{v} (refrain from voting)
abstainer,abstemio {m},{n} /æbˈsteɪ.nɚ/ (one who abstains)
abstemious,"sobrio, abstemio",{adj} /æbˈsti.mi.əs/ (abstaining from wine)
abstemious,abstemio,"{adj} (marked by, or spent in, abstinence)"
abstemious,sobrio {m},{adj} (sparing in diet)
abstemious,abstemio,{adj} (sparingly used; used with temperance or moderation)
abstention,abstención {f},{n} /æbˈstɛn.ʃn̩/ (the act of abstaining)
abstergent,abstergente,{n} /æbˈstɝ.d͡ʒn̩t/ (a substance used in cleansing)
abstersion,abstersión {f},{n} /æbˈstɝ.ʒn̩/ (the act of cleaning)
abstinence,"vigilia {f}, abstinencia {f}",{n} /ˈæb.stə.nn̩s/ (the act or practice of abstaining)
abstinence,abstinencia del alcohol,"{n} (specifically, abstinence from alcohol)"
abstinence,vigilia {f},{n} (the practice of self-denial)
abstinent,abstinente,{adj} /ˈæb.stɪ.nn̩t/ (refraining from indulgence)
abstract,abstracto,{adj} /æbˈstrækt/
abstract,resumen {m},{n} /ˈæbˌstrækt/ (an abrigement or summary)
abstract,extracto {m},{n} (an extract of a vegetable substance)
abstract,"abstraer, extraer",{v}
abstract,abstraer,{v} /ˈæb.strækt/ (to separate; to remove; to take away)
abstraction,abstracción {f},{n} /æbˈstɹæk.ʃn̩/ (act of abstracting)
abstractionism,abstraccionismo {m},{n} /æbˈstɹæk.ʃn̩ˌɪz.m̩/ (abstract art)
abstractionist,abstraccionista {m} {f},{n} /æbˈstɹæk.ʃən.əst/ (someone who paints or creates abstract art)
abstract noun,sustantivo abstracto {m},{n} /ˈæbˌstrækt naʊn/ (a noun that denotes an abstract concept)
abstract of title,resumen de título {m},{n} /ˈtaɪ.tl̩/ (epitome of the evidences of ownership)
abstruse,abstruso {m},{adj} /æbˈstrus/ (difficult to comprehend)
absurd,absurdo,{adj} /æbˈsɝd/ (contrary to reason or propriety)
absurdity,absurdo {m},{n} /æbˈsɝd.ɪ.ti/ (the quality of being absurd)
Abu Dhabi,Abu Dhabi,{prop} /ˈɑ.bu ˈdɑ.bi/ (capital of UAE)
abundance,abundancia,{n} /əˈbʌn.dn̩s/ (ample sufficiency)
abundant,"abundante, copioso, cuantioso",{adj} /əˈbʌn.dn̩t/ (fully sufficient; plentiful)
abundantly,abundantemente,{adv} /əˈbʌn.dn̩t.li/ (in an abundant manner)
abundant number,número abundante {m},{n} /əˈbʌn.dn̩t ˈnʌm.bɚ/ (abundant number)
Abundius,Abundio {m},{prop} (male given name)
abuse,abuso {m},{n}
abuse,abuso {m},{n} /əˈbjus/ (improper usage)
abuse,abuso {m},{n} (physical maltreatment)
abuse,abuso sexual {m},{n} (sexual assault)
abuse,abusar,{v} /əˈbjuz/
abuse of discretion,abuso de discreción {m},{n}
abuser,abusador {m},{n} /əˈbju.zɚ/ (one who abuses)
abusio,,{n} (catachresis) SEE:
abusive,abusivo,{adj} /əˈbju.sɪv/ (practicing abuse)
abut,bordear,{v} /əˈbʌt/ (to border on)
abutment,estribo {m},{n} /əˈbʌt.mn̩t/ (state of abutting)
abysm,abismo {m},{n} /əˈbɪz.m̩/ (abyss)
abysmal,"abismal, insondable","{adj} /əˈbɪz.ml̩/ (pertaining to, or resembling an abyss; bottomless; unending; profound)"
abysmal,"atroz, desastroso",{adj} (extremely bad)
abyss,"abismo {m}, sima {f}",{n} /əˈbɪs/ (a bottomless or unfathomed depth)
abyssal,abisal,{adj} /əˈbɪs.l̩/ (belonging to the ocean depths)
Abyssinia,Abisinia {f},{prop} /ˌæb.ɪˈsɪn.i.ə/ (historical name of Ethiopia)
Abyssinian,abisinio,{adj} /ˌæb.ɪˈsɪn.i.ən/ (of or pertaining to Abyssinia)
Abyssinian,"abisinio {m}, abisinia {f}",{n} (a native of Abyssinia)
abzyme,abzima {f},{n} (antibody with catalytic properties)
AC,"CA, corriente alterna",{initialism} (alternating current)
acacia,acacia {f},{n} /əˈkeɪ.ʃə/ (shrub or tree)
academic,académico,{adj} /ˌæk.əˈdɛm.ɪk/ (belonging to an academy or other higher institution of learning)
academic,teórico,{adj} (having no practical importance)
academic,"académico {m}, escolar {m}",{n}
academic,"académico {m}, escolar {m}","{n} (member of an academy, college, or university)"
academically,académicamente,{adv} /ˌæk.əˈdɛm.ɪk.ə.li/ (in an academic style or way)
academician,académico {m},{n}
academician,"académico {m}, académica {f}, academista {m} {f}",{n} /ˌæk.ə.dəˈmɪ.ʃn̩/ (member of an academy)
academy,academia {f},{n}
academy,academia {f},{n} /əˈkæd.ə.mi/ (learned society)
academy,cantera {f},{n} (specialized school)
Acadian,acadio,{adj} /əˈkeɪ.di.n̩/ (Of or pertaining to Acadia)
acalycine,acalicino,{adj} /ˌeiˈkeɪ.lə.saɪn/ (without a calyx)
acanthaceous,acantáceo,{adj} /ˌæk.n̩ˈθeɪ.ʃəs/ (armed with prickles)
acanthaceous,acantáceo,{adj} (pertaining to the acanthus family)
acanthocyte,acantocito {m},{n} /\əˈkæn.θoʊˌsaɪt/ (spiny cell)
acanthus,acanto {m},{n} /əˈkæn.θəs/ (plant)
acanthus,acanto {m},{n} (ornament)
a cappella,a cappella,{adv} /ˌɑ kə.ˈpɛl.ə/ (performed by a choir with no instrumental accompaniment)
acarbose,acarbosa {f},{n} /eɪ 'kɑr boʊs/ (antidiabetic drug)
acarpous,acarpo,{adj} /eɪ.ˈkɑɹ.pəs/ (not producing fruit)
acaulescent,acaule,{adj} /ˌæk.ɔ.ˈlɛs.ənt/ (having no stem)
accede,"subir, acceder",{v} /æk.ˈsid/ (to enter upon an office or dignity)
accede,"acceder, consentir",{v} (to agree to a proposal or view)
accedie,,{n} (acedia) SEE:
accelerate,acelerar,{v} /ək.ˈsɛl.ə.ˌreɪt/ (to cause to move faster)
accelerate,acelerarse,{v} (to become faster)
accelerate,"acelerar, apresurar",{v} (to hasten)
accelerate,acelerar,{v} (to quicken natural or ordinary progression or process)
acceleration,aceleración,{n} /ək.ˌsɛl.ə.ˈɹeɪ.ʃən/ (act or state)
accelerator,"acelerador {m}, [colloquial, Chile] chala {f}, chancla {f} [Costa Rica], chancleta {f} [Colombia], chola {f} [Venezuela]",{n} (accelerator pedal)
accelerator,acelerador {m},{n} (a device for causing acceleration)
accelerator,acelerador {m},"{n} /æk.ˈsɛl.ə.ˌɹeɪ.tɚ/ (one who, or that which, accelerates)"
accelerometer,acelerómetro {m},{n} /æk.ˌsɛl.ə.ˈrɑm.ə.tɚ/ (instrument for measuring acceleration)
accent,acento {m},{n} /ˌæk.ˈsɛnt/ (a stronger articulation)
accent,"acento {m}, tilde {f}",{n} (a mark used in writing)
accent,acento {m},{n} (a recurring stress on a tone)
accent,acento {m},{n} (modulation of the voice)
accent,acento {m},{n} (stress on syllables of a verse)
accent,acento {m},{n} (the expressive emphasis of a passage)
accent,acentuar,{v} /æk.ˈsɛnt/ (to emphasize)
accent,acentuar,{v} (to mark with written accents)
accentor,acentor {m},{n} /ək.ˈsɛn.tɚ/ (bird of the Prunella genus)
accentuate,acentuar,{v} /əkˈsen.tʃu.eɪt/ (to pronounce with an accent)
accentuate,acentuar,{v} (to bring out distinctly)
accentuate,acentuar,{v} (to mark with a written accent)
accept,aceptar,{v} /əkˈsɛpt/ (to receive with consent)
accept,aceptar,{v} (to agree to)
accept,aceptar,{v} (to receive officially)
acceptability,aceptabilidad {f},{n} /ˌæk.ˌsɛp.tə.ˈbɪl.ət.i/ (acceptableness)
acceptable,aceptable,"{adj} /æk.ˈsɛp.tə.bəl/ (capable, worthy or sure of being accepted)"
acceptance,aceptación,{n}
acceptance,"aceptación {f}, aprobación {f}",{n} /ək.ˈsɛp.təns/ (receiving of something offered)
acceptor,aceptador {m},{n} /æk.ˈsɛp.tɚ/ (one who accepts)
accept service,"recibir la notificación, darse por notificado",{v} (receive and acknowledge receipt of service of process)
access,acceso {m},{n}
access,acceso {m},{n} /ˈæk.sɛs/ (way or means of approaching)
access,acceso {m},{n} (communication with a computer program or the Internet)
