[null]
[ed, s, en]
-2109065674,imaginative,imaginativo,ADJECTIVE
-2108930435,benzoquinone,benzoquinona,NOUN
-2108451920,antillean,antillano,ADJECTIVE
-2108272124,Jabberwock,Galimatazo,NONE
-2108139124,miscomprehend,,VERB
-2108038480,triple jump,triple salto,NOUN
-2107914178,slumber,adormecimiento ,NONE
-2107751782,slurpee,,NOUN
-2107729555,slushie,,NOUN
-2107527636,malfeasor,,NOUN
-2107485327,econometrics,econometría,NOUN
-2107400353,I'm divorced,estoy divorciado ,NONE
-2107256435,civet coffee,,NOUN
-2106363287,philology,filología,NOUN
-2106342913,philomena,Filomena,PROPOSITIOIN
-2106342496,ups and downs,altibajos,NOUN
-2105945968,antiochus,Antíoco,PROPOSITIOIN
-2105173236,bughouse chess,Pasapiezas,NOUN
-2105070894,antipathy,antipatía ,NONE
-2104945985,tilework,trabajo de azulejo,NOUN
-2104672557,futurologist,futurólogo ,NONE
-2104526122,azerbaijani,azerbaiyano,ADJECTIVE
-2104499654,clergywoman,clériga,NOUN
-2104196121,fire alarm,alarma de incendios ,NONE
-2104124155,somnambulation,,NOUN
-2103848651,extrapolate,extrapolar,VERB
-2103752340,nouakchott,Nuakchot,PROPOSITIOIN
-2103600687,enthalpy,entalpía,NOUN
-2103569502,antiquary,anticuario,NOUN
-2103561752,antiquity,antigüedad,NOUN
-2103345861,banderillero,banderillero,NOUN
-2103144336,venomous,maléfico,ADJECTIVE
-2103091439,enthrone,entronizar,VERB
-2103086633,fire brick,,NOUN
-2103034139,cast the first stone,tire la primera piedra,VERB
-2102745948,pearl diver,,NOUN
-2102620547,enticing,tentador ,NONE
-2102571660,saucepan,cacerola,NOUN
-2102558270,capacitor,condensador,NOUN
-2102481133,asseverate,aseverar,VERB
-2102186612,antisense,antisentido,NOUN
-2102177322,entirety,enterez ,NONE
-2101963601,solar flare,erupción solar,NOUN
-2101957924,interminate,,ADJECTIVE
-2101727738,tennis court,cancha de tenis,NOUN
-2101454042,geothermal,geotérmico,ADJECTIVE
-2101433184,tyrannize,tiranizar,VERB
-2101421113,frankincense,olíbano ,NONE
-2101345461,dunghill,basurero,NOUN
-2101182755,antitheft,antirrobo,ADJECTIVE
-2100966189,box tree,boj,NOUN
-2100955872,antitoxin,antitoxina,NOUN
-2100869066,antitrust,antimonopolista,ADJECTIVE
-2100808476,sebastian,Sebastián,PROPOSITIOIN
-2100790165,Afro-American,afroamericano ,NONE
-2100509034,immunodeficiency,inmunodeficiencia,NOUN
-2100507823,so much,tanto,ADJECTIVE
-2100368841,Indian,indio,NONE
-2100357218,icing sugar,,NOUN
-2100351858,briticism,anglicismo,NOUN
-2100311829,so that,para que (+ subjunctive),NONE
-2100222456,so what,¿y qué?,NONE
-2100200434,fluorine,flúor,NOUN
-2100030373,coordination,coordinación,NOUN
-2099876592,britisher,británico,NOUN
-2099293592,antiviral,antivirus,ADJECTIVE
-2098927333,routineness,rutinario,NONE
-2098806692,cool as a cucumber,estar más fresco que una lechuga,ADJECTIVE
-2098338519,impact crater,cráter de impacto ,NONE
-2098263415,bovarism,bovarismo,NOUN
-2097622858,fire house,,NOUN
-2097499434,shopfloor,taller,NOUN
-2096248553,around the corner,a la vuelta de la esquina,ADJECTIVE
-2096000486,as you know,como ustedes saben,ADVERB
-2095934631,vertiginous,vertiginoso,ADJECTIVE
-2095817266,anonymity,anonimato,NOUN
-2095817100,anonymize,anonimizar,VERB
-2095811475,anonymous,anónimo,ADJECTIVE
-2095763931,attorney-in-fact,apoderado ,NONE
-2095676474,apple pie,tarta de manzana,NOUN
-2095647690,as you wish,como quiera,NONE
-2095457067,vodyanoi,,NOUN
-2095280946,scorzonera,,NOUN
-2095226668,redstem filaree,agujón,NOUN
-2094969113,jinriksha,,NOUN
-2094695477,aquarium,acuario,NOUN
-2094695471,aquarius,acuario,PROPOSITIOIN
-2094506631,towelling,,NOUN
-2094368490,entrails,entrañas,NOUN
-2094363978,entrance,entrada,NOUN
-2094341866,smectic,esmético,ADJECTIVE
-2094244811,entrench,atrincherar,VERB
-2093979647,consequential,consiguiente,ADJECTIVE
-2093583932,sugar substitute,sustituto del azúcar ,NONE
-2093069911,grapefruit,toronja ,NONE
-2093063938,beer parlor,,NOUN
-2093043995,solar panel,panel solar ,NONE
-2092988390,esoteric,esotérico,ADJECTIVE
-2092853226,femininity,feminidad,NOUN
-2092394235,menagerie,casa de fieras,NOUN
-2092180513,agricultural,agrícola,ADJECTIVE
-2092040779,baffling,desconcertante,ADJECTIVE
-2092035537,accordingly,en consecuencia,ADVERB
-2091843030,oceanographer,oceanógrafo ,NONE
-2091842921,oceanographic,oceanográfico ,NONE
-2091708119,aide-de-camp,edecan,NOUN
-2091407486,aqueduct,acueducto,NOUN
-2091331905,vowelization,,NOUN
-2091191480,Tutankhamon,Tutanjamón,NONE
-2090364227,spin doctor,asesor de imagen,NOUN
-2090048083,appliance,implemento ,NONE
-2090000638,applicant,solicitante,NOUN
-2089945020,elixir of life,elíxir de la vida,NOUN
-2089751311,chamois leather,,NOUN
-2089616308,vehemence,vehemencia ,NONE
-2089247487,saltimbanco,saltimbanco,NOUN
-2088705618,elliott wave,onda de Elliott,NOUN
-2088515269,visualise,visualizar,VERB
-2088440118,laparotomy,laparotomía,NOUN
-2088181272,fall in love,enamorarse,VERB
-2087707853,arabian sea,mar Arábigo,PROPOSITIOIN
-2087486280,aquiline,aguileño,ADJECTIVE
-2087467621,patriarchal,patriarcal,ADJECTIVE
-2087326879,salesperson,vendedor,NOUN
-2086984623,morganatic,morganático,ADJECTIVE
-2086871134,two o'clock,las dos,NOUN
-2086861638,exceptional,excepcional,ADJECTIVE
-2086542592,well-being,bienestar,NOUN
-2086451723,fire truck,,NOUN
-2086384244,anthropological,antropológico,ADJECTIVE
-2085986087,absurdity,absurdo,NOUN
-2085810732,unfaithful,infiel,ADJECTIVE
-2085427626,azuki bean,judía azuki ,NONE
-2085361884,phlegmatic,flemático,ADJECTIVE
-2085177942,stateless,apátrida,ADJECTIVE
-2085148305,statement,declaración,NOUN
-2085012735,nazareth,Nazaret,PROPOSITIOIN
-2084991810,point of view,punto de vista,NOUN
-2084946012,deadly nightshade,belladona,NOUN
-2084878740,smoking,fumar,NOUN
-2084854022,smolder,arder,VERB
-2084777878,statue of liberty,estatua de la Libertad,PROPOSITIOIN
-2084611850,smother,apagar,VERB
-2084487050,television program,programa de la televisión,NOUN
-2084080173,constellation,constelación,NOUN
-2083958873,sunflower,girasol ,NONE
-2083503259,gorgeous,guapísimo,ADJECTIVE
-2083036462,allegation,alegato ,NONE
-2082649886,unaccountably,inexplicablemente,ADVERB
-2081972950,labyrinthal,,ADJECTIVE
-2081562821,legendary,legendario,ADJECTIVE
-2081496990,death adder,víbora de la muerte,NOUN
-2081278406,lusitania,Lusitania,PROPOSITIOIN
-2081261232,statistic,,ADJECTIVE
-2081078903,underperform,menosdesempeñarse,NONE
-2081070660,constantine,Constantino,PROPOSITIOIN
-2080897869,foundation,fundación,NOUN
-2080462800,imaginary number,número imaginario,NOUN
-2079707580,suffixation,sufijación,NOUN
-2079674402,crime scene,escena del crimen,NOUN
-2079627610,harassment,acoso,NOUN
-2079554784,allegement,,NOUN
-2079458764,smuggle,contrabandear,NONE
-2078920748,basidiomycete,basidiomiceto,NOUN
-2078860100,wrapping,embalaje ,NONE
-2077987304,guide dog,perro guía,NOUN
-2077745594,alkaline earth metal,metal alcalinotérreo,NOUN
-2077688357,acerbity,amargura,NOUN
-2077418921,settle down,calmarse,VERB
-2077240989,obsession,obsesión,NOUN
-2077204257,good faith,buena fe,NOUN
-2077193744,oystercatcher,ostrero,NOUN
-2076820452,submissive,sumiso,ADJECTIVE
-2076650431,timeline,diagrama cronológico ,NONE
-2076517560,unblushingly,desvergonzadamente,ADVERB
-2076376891,londoner,londinense,NOUN
-2076367943,at a time,a la vez,ADVERB
-2076209899,allegiance,fidelidad ,NONE
-2076170339,preposterous,absurdo,ADJECTIVE
-2076128911,sassafras,sasafrás,NOUN
-2076054687,satirically,satíricamente,ADVERB
-2075972251,long ago,hace tiempo,NONE
-2075967195,long for,anhelar,VERB
-2075803944,chest of drawers,cómoda ,NONE
-2075735386,cognoscente,experto,NOUN
-2075718416,guideline,directriz ,NONE
-2075571782,duodenal,duodenal,ADJECTIVE
-2075571161,duodenum,duodeno,NOUN
-2075523360,savannah,,NOUN
-2075407005,wrathful,furioso,ADJECTIVE
-2074822721,carbon tetrachloride,tetracloruro de carbono,NOUN
-2074610098,Catalan,catalán ,NONE
-2074072720,gabonese,gabonés,ADJECTIVE
-2074002769,color blindness,daltonismo,NOUN
-2073944101,gaborone,Gaborone,PROPOSITIOIN
-2073847059,posthumous,póstumo,ADJECTIVE
-2073663421,Varsovian,varsoviano ,NONE
-2073509880,oligarchy,oligarquía,NOUN
-2073492808,longship,drakkar,NOUN
-2073257226,ebullioscope,ebulloscopía,NOUN
-2072685140,unluckily,desafortunadamente,ADVERB
-2072507603,tardigrade,,NOUN
-2072240065,subgroup,subgrupo,NOUN
-2071957843,igneous rock,roca ígnea,NOUN
-2071451333,gabriela,Gabriela,PROPOSITIOIN
-2071318355,scoundrel,bribón ,NONE
-2071216135,astringent,astriugente,ADJECTIVE
-2070954036,new delhi,Nueva Delhi,PROPOSITIOIN
-2070551877,leave someone in the lurch,dejar con los crespos hechos,VERB
-2070415823,vacuum-clean,pasar la aspiradora,NONE
-2070157918,cuntbucket,coñoto ,NONE
-2070153693,statutory,reglamentario,ADJECTIVE
-2069638162,coinsurance,participación propia ,NONE
-2069544482,tin opener,,NOUN
-2069020622,computational,computazionale,ADJECTIVE
-2068150818,impoverish,empobrecer,VERB
-2068023270,sublease,subarrendar,VERB
-2067915153,white-handed gibbon,,NOUN
-2067670211,micropaleontology,micropaleontología,NOUN
-2067230478,timorous,tímido,ADJECTIVE
-2067091841,one at a time,uno por vez,NONE
-2067083784,submerge,sumergir,VERB
-2067037034,lose one's way,,VERB
-2066904739,yeniseian,,ADJECTIVE
-2066841512,tautology,redundancia ,NONE
-2066814371,timpanum,,NOUN
-2066747737,maiden voyage,viaje inaugural,NOUN
-2066558542,paradoxical,paradójico,ADJECTIVE
-2066543820,inactivity,ociosidad ,NONE
-2066384572,peak season,temporada alta,NOUN
-2066005850,totipotent,totipotente,ADJECTIVE
-2065781055,sneaker,,NOUN
-2065578028,wild boar,jabalí,NOUN
-2065561178,wild card,comodín,NOUN
-2065393111,wild hunt,cacería salvaje,NOUN
-2064937791,orbicular,orbicular,NONE
-2064817359,Justin,Justino,NONE
-2064679455,suboxide,subóxido,NOUN
-2064576806,transaminase,aminotransferasa,NOUN
-2064027591,subpoena,citación,NOUN
-2063405674,prostatitis,prostatitis,NOUN
-2062983959,how's it going, ¿cómo te va?,NONE
-2062946298,collaborator,colaborador,NOUN
-2062566811,trotskyism,trotskismo,NOUN
-2062566788,trotskyite,trotskista,NOUN
-2062379145,hoi polloi,populacho ,NONE
-2061636905,flying buttress,arbotante,NOUN
-2061600818,generation gap,espacio generacional,NOUN
-2060868787,retaining wall,muro de contención,NOUN
-2060587632,occipitofrontalis,occipitofrontal ,NONE
-2060563606,algebraic equation,ecuación algebraica,NOUN
-2060497896,subtitle,subtítulo,NOUN
-2060462300,advertising,publicidad,NOUN
-2060422670,subtlety,sutileza,NOUN
-2060248300,subtract,substraer,VERB
-2059462226,horticulture,horticultura,NOUN
-2059323886,suburban,suburban,ADJECTIVE
-2059101148,square matrix,matriz cuadrada,NOUN
-2058794369,revolutionary,revolucionario ,NONE
-2058788710,evangelist,evangelista,NOUN
-2058788508,evangelize,evangelizar,VERB
-2058693021,nugatory,ineficaz,ADJECTIVE
-2058470489,unvoluntary,,ADJECTIVE
-2057917907,captivatingly,arrebatadoramente,ADVERB
-2057847813,disembowel,desentrañar,VERB
-2057768055,epidemiology,epidemiología,NOUN
-2057441983,hordeolum,,NOUN
-2057322798,inner child,puer aeternus,NOUN
-2057085789,strike while the iron is hot,batir el hierro cuando está al rojo,VERB
-2056852630,I lost my handbag,perdí mi cartera,NONE
-2056817320,abstract noun,sustantivo abstracto,NOUN
-2056128771,snooker,billar,NOUN
-2056125465,cocoa bean,grano de cacao,NOUN
-2056039404,snorkel,tubo respirador,NOUN
-2056034511,mutual masturbation,masturbación muta,NOUN
-2056010478,xiphias,,NOUN
-2055888649,snowman,muñeco de nieve,NOUN
-2055765891,adhesive tape,cinta adhesiva,NOUN
-2054873399,Kalmyk,calmuco ,NONE
-2054610010,priestess,sacerdotisa,NOUN
-2054587434,Kavala,Kavala,NONE
-2054507481,sentimentally,sentimentalmente,ADVERB
-2054259332,bagpiper,gaitero,NOUN
-2054259331,bagpipes,gaita,NOUN
-2054237893,eisteddfod,Eisteddfod,NOUN
-2054162872,insurmountable,insalvable,NONE
-2053953337,essayistic,ensayístico,ADJECTIVE
-2053470607,parasailing,parapente,VERB
-2053103342,new world,Nuevo Mundo,PROPOSITIOIN
-2053062122,bowsprit,bauprés,NOUN
-2052825665,black and white,,ADJECTIVE
-2052159642,stroke order,orden de trazos,NOUN
-2052114881,postprandial,posprandial,NONE
-2052068015,physiological,fisiológico,ADJECTIVE
-2052050374,mastectomy,mastectomía,NOUN
-2052042590,be as silent as the grave,ser callado como una tumba,NONE
-2051806931,linear algebra,álgebra lineal,NOUN
-2051732820,madagascar,Madagascar,PROPOSITIOIN
-2051493737,steelworks,acería ,NONE
-2050860569,snuffer,matacandelas,NOUN
-2050829613,snuggle,acurrucarse,VERB
-2050499649,mortality,mortalidad,NOUN
-2050204735,round angle,ángulo redondo,NOUN
-2049974641,Taiwanese,taiwanés ,NONE
-2049838775,cape lion,león del Cabo,NOUN
-2049756595,baguette,baguete,NOUN
-2049689281,infrasound,infrasonido,NOUN
-2049604727,cape teal,cerceta de El Cabo,NOUN
-2049594433,cape town,Ciudad del Cabo,PROPOSITIOIN
-2049175964,climatology,climatología,NOUN
-2049116074,cover someone's ass,cubrirse las espaldas,NONE
-2048782384,envelope,sobre,NOUN
-2048161994,coccygeal,coccígeo,ADJECTIVE
-2048091383,german shepherd,pastor alemán,NOUN
-2048030499,wet season,,NOUN
-2047574632,succinct,sucinto,ADJECTIVE
-2047533272,Venetian,veneciano ,NONE
-2046941875,fly-half,medio de apertura,NOUN
-2046883457,expenditure,gasto,NOUN
-2046440644,succinic acid,ácido succínico,NOUN
-2046343506,unhappiness,infelicidad,NOUN
-2046322048,cosmological,cosmológico,ADJECTIVE
-2045940762,sawbones,matasanos,NOUN
-2045585400,chuvashia,Chuvasia,PROPOSITIOIN
-2045428618,enviable,envidiable,ADJECTIVE
-2044982858,sphenoid,,NOUN
-2044931612,chronic fatigue syndrome,síndrome de fatiga crónica ,NONE
-2044893496,envisage,prever,VERB
-2044635325,consequence,consecuencia,NOUN
-2044181764,hermitage,ermita,NOUN
-2043683761,great-great-grandmother,tatarabuela,NOUN
-2043643960,look for,buscar,VERB
-2042948466,outskirts,afueras,NOUN
-2042309572,digitalize,digitalizar,VERB
-2041773788,Korean,coreano ,NONE
-2041178969,pornographer,pornógrafo,NOUN
-2041178860,pornographic,pornográfico,ADJECTIVE
-2041170463,shoreline,orilla,NOUN
-2041125308,look forward,esperar,NONE
-2041009430,celebration,celebración,NOUN
-2040766044,smoke explosion,explosión de humo,NOUN
-2040744695,latissimus dorsi,dorsal ancho,NOUN
-2040704095,master key,llave maestra,NOUN
-2040487060,internal combustion engine,motor de combustión interna,NOUN
-2040407456,soapbox,tribuna improvisada ,NONE
-2040341195,soaring,ascendente,ADJECTIVE
-2040021239,sod all,nada de nada,NOUN
-2039788162,tinnitus,tinnitus ,NONE
-2039503349,plain of jars,Llanura de las Jarras,PROPOSITIOIN
-2039370687,bahamian,bahameño,ADJECTIVE
-2039089582,biocenosis,,NOUN
-2038897431,outsource,externalizar,VERB
-2038765912,society,sociedad,NOUN
-2038551968,one for the road,la caminera,NOUN
-2038349371,case in point,ejemplo,NOUN
-2038174552,chain reaction,reacción en cadena,NOUN
-2038159312,outspoken,franco,NONE
-2038108045,masterwork,,NOUN
-2037607544,stamping ground,lugar preferido,NOUN
-2037540658,angiograph,,NOUN
-2036917236,plasmatic,plasmático,ADJECTIVE
-2036872860,loophole,escapatoria,NOUN
-2036419525,digital press,prensa digital,NOUN
-2036282035,egalitarian,igualitario,ADJECTIVE
-2035849085,as a matter of fact,por cierto,ADVERB
-2035257003,abominable snowman,abominable hombre de las nieves,NOUN
-2034983908,edinburgh,Edimburgo,PROPOSITIOIN
-2034900881,guinea fowl,gallina de Guinea,NOUN
-2034464501,surrogate mother,madre sustituta,NOUN
-2034184503,saxophone,saxofón ,NONE
-2033875263,tamil nadu,Tamil Nadu,PROPOSITIOIN
-2033799205,secretariat,secretaría,NOUN
-2033593647,mockingbird,(Mimus spp.) cenzontle ,NONE
-2033564348,big sister,hermana mayor,NOUN
-2033519190,henceforth,en adelante,ADVERB
-2033138954,chlamydia,chlamydia,NOUN
-2032958883,organ pipe,tubo de órgano,NOUN
-2032107216,sojourn,estadía,NOUN
-2031971340,subterranean,subterráneo,ADJECTIVE
-2031596201,divisibility,divisibilidad,NOUN
-2030684317,god object,objeto todopoderoso,NOUN
-2030675225,magna carta,Carta Magna,PROPOSITIOIN
-2030599806,soldier,soldado,NOUN
-2030456491,solicit,solicitar,VERB
-2030455432,solidly,sólidamente,ADVERB
-2030439974,soliton,solitón,NOUN
-2030271669,soloist,solista,NOUN
-2030267955,solomon,Salomón,PROPOSITIOIN
-2030242959,stag-beetle,ciervo  volante,NOUN
-2030099882,soluble,soluble,ADJECTIVE
-2030067131,solvent,solvente,ADJECTIVE
-2029849391,september,septiembre,PROPOSITIOIN
-2029762668,somalia,Somalia,PROPOSITIOIN
